ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country,Unnamed: 18
205836,GAN,580,35.9932,139.439,17.4041,2019-01-05,21:45,2019-01-05,12:45,4,,,clear,Orion,I thought my location shows us full of stars because I didnt know the amount of the stars if it were not lights toward the sky.,The location doesnt have much light made by people. There are many paddy fields here.,Japan,
205837,GAN,581,35.7632,139.71,26.9578,2019-01-06,01:28,2019-01-05,16:28,-9999,,,clear,Orion,,,Japan,
205839,GAN,583,35.8254,139.805,7.21561,2019-01-05,21:45,2019-01-05,12:45,2,,,clear,Orion,,,Japan,
205840,GAN,584,35.6904,140.094,27.9758,2019-01-06,02:35,2019-01-05,17:35,1,,,1/2 of sky,Orion,,,Japan,
205854,GAN,599,35.7773,140.314,35.3797,2019-01-05,00:00,2019-01-05,00:00,3,,,1/4 of sky,Orion,,,Japan,
205855,GAN,600,35.7766,140.314,37.6004,2019-01-05,23:00,2019-01-05,14:00,3,,,1/4 of sky,Orion,,,Japan,
205875,GAN,621,34.12,139.521,73.9011,2019-01-01,21:00,2019-01-01,12:00,5,,,clear,Orion,,,Japan,
205877,GAN,623,35.8085,139.661,5.03545,2019-01-05,20:30,2019-01-05,11:30,2,,,1/4 of sky,Orion,,,Japan,
205880,GAN,626,35.6499,139.682,26.3908,2019-01-06,15:08,2019-01-06,06:08,1,,,1/4 of sky,Orion,,,Japan,
205881,GAN,627,35.6499,139.681,26.4484,2019-01-06,20:15,2019-01-06,11:15,1,,,1/4 of sky,Orion,,,Japan,
205882,GAN,628,35.5528,140.158,10.2327,2019-01-06,01:30,2019-01-05,16:30,3,,,1/4 of sky,Orion,,,Japan,
205883,GAN,629,35.7632,139.704,32.4675,2019-01-06,18:07,2019-01-06,09:07,1,,,1/2 of sky,Orion,,,Japan,
205884,GAN,630,35.5974,139.685,21.7025,2019-01-06,18:16,2019-01-06,09:16,1,,,1/4 of sky,Orion,,,Japan,
205885,GAN,631,35.9482,139.769,7.63838,2019-01-06,18:42,2019-01-06,09:42,2,,,1/4 of sky,Orion,,,Japan,
205886,GAN,632,35.8686,139.962,19.0922,2019-01-06,18:50,2019-01-06,09:50,-9999,,,over 1/2 of sky,Orion,,,Japan,
205887,GAN,633,33.87,132.816,204.086,2019-01-06,18:59,2019-01-06,09:59,1,,,clear,Orion,,,Japan,
205888,GAN,634,35.7043,139.755,7.61401,2019-01-06,19:02,2019-01-06,10:02,2,,,clear,Orion,,,Japan,
205889,GAN,635,35.6637,139.496,43.3291,2019-01-06,19:10,2019-01-06,10:10,2,,,1/4 of sky,Orion,,,Japan,
205890,GAN,636,35.4927,139.631,14.0,2019-01-06,19:15,2019-01-06,10:15,-9999,,,1/2 of sky,Orion,,,Japan,
205891,GAN,637,35.6623,139.801,1.3168,2019-01-06,19:16,2019-01-06,10:16,3,,,clear,Orion,,,Japan,
205892,GAN,638,35.7754,139.772,4.29806,2019-01-06,19:22,2019-01-06,10:22,-9999,,,1/4 of sky,Orion,,,Japan,
205893,GAN,639,35.7598,139.72,26.3009,2019-01-06,19:23,2019-01-06,10:23,-9999,,,1/2 of sky,Orion,,,Japan,
205894,GAN,640,35.9357,139.433,30.9576,2019-01-06,19:03,2019-01-06,10:03,3,,,1/4 of sky,Orion,,,Japan,
205895,GAN,641,35.4883,139.458,73.5807,2019-01-05,19:46,2019-01-05,10:46,2,,,clear,Orion,,,Japan,
205896,GAN,642,35.5228,139.656,32.5784,2019-01-06,20:03,2019-01-06,11:03,2,,,1/4 of sky,Orion,,,Japan,
205898,GAN,645,35.7397,139.669,43.4062,2019-01-06,20:11,2019-01-06,11:11,1,,,1/2 of sky,Orion,,,Japan,
205899,GAN,646,26.0948,127.699,25.724,2019-01-06,20:08,2019-01-06,11:08,2,,,1/4 of sky,Orion,,,Japan,
205901,GAN,649,35.8748,140.007,16.9824,2019-01-06,20:15,2019-01-06,11:15,2,,,clear,Orion,,,Japan,
205902,GAN,650,35.6506,139.541,38.2824,2019-01-06,20:22,2019-01-06,11:22,1,,,1/2 of sky,Orion,,,Japan,
205903,GAN,652,35.7201,139.761,13.9157,2019-01-06,20:48,2019-01-06,11:48,1,,,1/2 of sky,Orion,,urban location  Nothing car  Low place,Japan,
205904,GAN,653,32.6405,130.693,8.02373,2019-01-06,20:58,2019-01-06,11:58,3,,,1/4 of sky,Orion,,japan Kumamoto  prefecture uki city,Japan,
205905,GAN,654,36.0021,139.276,95.6269,2019-01-06,21:00,2019-01-06,12:00,3,,,over 1/2 of sky,Orion,,,Japan,
205906,GAN,655,35.6451,139.733,6.84322,2019-01-06,21:04,2019-01-06,12:04,3,,,clear,Orion,,,Japan,
205907,GAN,656,35.4529,139.635,0.0,2019-01-06,21:06,2019-01-06,12:06,2,,,clear,Orion,,,Japan,
205908,GAN,657,35.4529,139.635,0.0,2019-01-06,21:06,2019-01-06,12:06,2,,,clear,Orion,,,Japan,
205909,GAN,658,35.7911,139.669,4.43128,2019-01-06,21:04,2019-01-06,12:04,1,,,clear,Orion,,,Japan,
205910,GAN,659,35.7457,139.724,26.9969,2019-01-06,21:11,2019-01-06,12:11,-9999,,,clear,Orion,,,Japan,
205911,GAN,660,36.0658,139.522,16.0213,2019-01-06,21:25,2019-01-06,12:25,2,,,1/4 of sky,Orion,,,Japan,
205912,GAN,661,35.8433,139.801,4.66313,2019-01-06,21:25,2019-01-06,12:25,2,,,clear,Orion,,,Japan,
205913,GAN,662,35.6514,139.711,18.5812,2019-01-06,20:30,2019-01-06,11:30,2,,,clear,Orion,no cloudy,SHIBUYA,Japan,
205914,GAN,663,35.7466,139.619,41.7629,2019-01-06,21:19,2019-01-06,12:19,2,,,clear,Orion,,,Japan,
205915,GAN,664,35.714,139.408,87.8794,2019-01-06,21:22,2019-01-06,12:22,2,,,clear,Orion,,,Japan,
205916,GAN,665,35.6629,139.745,9.2404,2019-01-06,21:40,2019-01-06,12:40,2,,,clear,Orion,,,Japan,
205917,GAN,666,35.5373,139.657,9.44431,2019-01-06,21:50,2019-01-06,12:50,2,,,clear,Orion,,,Japan,
205918,GAN,667,35.6034,139.503,50.1171,2019-01-06,21:51,2019-01-06,12:51,2,,,1/4 of sky,Orion,,,Japan,
205919,GAN,668,35.6723,139.826,1.52355,2019-01-06,21:57,2019-01-06,12:57,2,,,1/4 of sky,Orion,,,Japan,
205920,GAN,669,35.7089,139.774,11.8764,2019-01-06,21:58,2019-01-06,12:58,-9999,,,clear,Orion,,,Japan,
205921,GAN,670,35.5593,139.729,4.5,2019-01-06,21:55,2019-01-06,12:55,1,,,clear,Orion,,,Japan,
205922,GAN,671,35.7304,139.733,15.7982,2019-01-06,22:02,2019-01-06,13:02,1,,,1/4 of sky,Orion,,,Japan,
205923,GAN,673,35.5593,139.729,4.5,2019-01-06,21:55,2019-01-06,12:55,1,,,clear,Orion,,,Japan,
205924,GAN,674,35.8358,139.956,28.1086,2019-01-06,22:04,2019-01-06,13:04,3,,,clear,Orion,,,Japan,
205925,GAN,675,35.7067,139.868,1.95672,2019-01-06,21:48,2019-01-06,12:48,2,,,1/2 of sky,Orion,,,Japan,
205926,GAN,676,31.3915,130.393,48.6095,2019-01-06,22:33,2019-01-06,13:33,4,,,clear,Orion,,,Japan,
205927,GAN,677,35.8095,140.166,27.5214,2019-01-06,21:45,2019-01-06,12:45,2,,,clear,Orion,,,Japan,
