ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
216286,GAN,14900,35.7379,139.761,18.4115,2020-01-16,19:15,2020-01-16,10:15,1,,,1/4 of sky,Orion,,,Japan
216287,GAN,14901,35.9252,139.777,7.14307,2020-01-18,02:27,2020-01-17,17:27,3,,,1/4 of sky,Orion,,,Japan
216288,GAN,14902,35.9298,139.775,7.46756,2020-01-18,23:38,2020-01-18,14:38,2,,,1/4 of sky,Orion,,,Japan
216334,GAN,14966,35.7887,139.85,3.80573,2020-01-18,20:00,2020-01-18,11:00,3,,,1/4 of sky,Taurus,,,Japan
216335,GAN,14967,35.3437,139.628,11.612,2020-01-18,23:10,2020-01-18,14:10,2,,,1/4 of sky,Taurus,,,Japan
216336,GAN,14969,35.7685,139.508,64.5049,2020-01-17,21:00,2020-01-17,12:00,2,,,1/4 of sky,Orion,,,Japan
216337,GAN,14970,35.7297,140.103,24.7999,2020-01-18,18:30,2020-01-18,09:30,-9999,,,over 1/2 of sky,Taurus,,,Japan
216338,GAN,14975,35.7297,140.103,24.7999,2020-01-18,18:30,2020-01-18,09:30,-9999,,,over 1/2 of sky,Taurus,,,Japan
216339,GAN,14978,35.7297,140.103,24.7999,2020-01-18,18:30,2020-01-18,09:30,-9999,,,over 1/2 of sky,Taurus,,,Japan
216340,GAN,14979,35.7688,139.704,27.1713,2020-01-18,19:03,2020-01-18,10:03,2,,,1/2 of sky,Orion,,,Japan
216341,GAN,14980,35.7237,139.747,18.8627,2020-01-18,20:03,2020-01-18,11:03,-9999,,,over 1/2 of sky,Taurus,,,Japan
216343,GAN,14985,35.7677,139.725,10.1,2020-01-18,22:46,2020-01-18,13:46,2,,,clear,Orion,,,Japan
216344,GAN,14986,35.7889,139.835,3.8016,2020-01-18,22:47,2020-01-18,13:47,-9999,,,1/4 of sky,Perseus,,,Japan
216345,GAN,14987,35.8208,139.703,5.9672,2020-01-18,23:01,2020-01-18,14:01,4,,,clear,Taurus,,,Japan
216346,GAN,14988,36.8006,139.846,290.797,2020-01-18,21:00,2020-01-18,12:00,4,,,clear,Orion,,,Japan
216347,GAN,14990,35.7234,139.301,138.63,2020-01-18,20:48,2020-01-18,11:48,3,,,1/4 of sky,Orion,,,Japan
216348,GAN,14994,35.312,139.308,24.7559,2020-01-19,01:40,2020-01-18,16:40,4,,,1/2 of sky,Perseus,,,Japan
216350,GAN,14997,35.6667,139.859,0.855924,2020-01-18,21:00,2020-01-18,12:00,3,,,1/2 of sky,Orion,,,Japan
