ID,ObsType,ObsDateTime,Latitude,Longitude,Elevation,UTCOffset,LimitingMag,CloudCover,SQMReading,SQMSerial,Constellation,SkyComment,LocationComment,Country
272475,Globe at Night,2022-02-03 06:26:00+00:00,36.0346,139.604,11.6425,-540,3,25,,,Orion,,,Japan
272474,Globe at Night,2022-02-03 06:47:00+00:00,35.8685,139.962,19.116,-540,3,25,,,Orion,,,Japan
272473,Globe at Night,2022-02-03 06:44:00+00:00,35.8541,139.951,20.9738,-540,1,25,,,Orion,,,Japan
272470,Globe at Night,2022-02-03 06:14:00+00:00,40.2207,140.836,382.158,-540,2,-1,,,Orion,,,Japan
272469,Globe at Night,2022-02-03 05:21:00+00:00,36.3273,140.091,53.5726,-540,2,25,,,Orion,,,Japan
272467,Globe at Night,2022-02-03 04:51:00+00:00,35.7877,139.863,5.87624,-540,3,-1,,,Orion,,,Japan
272466,Globe at Night,2022-02-03 04:52:00+00:00,35.6713,139.904,3.7834,-540,-9999,-1,,,Orion,,,Japan
272465,Globe at Night,2022-02-03 04:14:00+00:00,35.7738,139.497,59.9062,-540,3,-1,,,Orion,,,Japan
272463,Globe at Night,2022-02-03 03:48:00+00:00,35.6869,140.064,22.3546,-540,1,-1,,,Orion,,,Japan
272461,Globe at Night,2022-02-02 08:00:00+00:00,35.6896,139.69,40.4022,-540,-9999,25,,,Orion,,,Japan
272460,Globe at Night,2022-02-03 03:19:00+00:00,35.5869,139.562,62.7423,-540,-9999,25,,,Orion,,,Japan
272459,Globe at Night,2022-02-01 05:30:00+00:00,33.0742,130.535,78.9949,-540,4,-1,,18w1,Orion,,,Japan
272458,Globe at Night,2022-02-03 02:29:00+00:00,33.0742,130.535,78.9949,-540,4,-1,,,Orion,,,Japan
272440,Globe at Night,2022-02-02 05:13:00+00:00,36.7263,139.995,149.093,-540,4,25,,,Orion,,,Japan
272379,Globe at Night,2022-02-02 04:00:00+00:00,36.0055,139.41,22.5323,-540,3,-1,,,Orion,,,Japan
272374,Globe at Night,2022-02-02 05:26:00+00:00,36.2841,138.924,151.526,-540,3,-1,,,Orion,,,Japan
272372,Globe at Night,2022-02-02 05:26:00+00:00,36.2841,138.924,151.526,-540,3,-1,,,Orion,,,Japan
272371,Globe at Night,2022-02-02 19:10:00+00:00,36.2841,138.924,151.526,-540,3,-1,,,Orion,,,Japan
272351,Globe at Night,2022-02-02 06:06:00+00:00,35.7435,139.47,78.3885,-540,3,-1,,,Orion,,,Japan
272345,Globe at Night,2022-02-02 06:00:00+00:00,36.0143,139.678,9.65788,-540,3,-1,,,Orion,,,Japan
272338,Globe at Night,2022-02-02 13:54:00+00:00,35.6762,139.65,40.208,-540,-9999,75,,,Orion,,,Japan
272337,Globe at Night,2022-02-02 13:54:00+00:00,35.6762,139.65,40.208,-540,-9999,75,,,Orion,,,Japan
272330,Globe at Night,2022-02-02 08:30:00+00:00,35.7651,139.703,30.2088,-540,1,-1,,,Orion,,,Japan
272329,Globe at Night,2022-02-03 08:30:00+00:00,35.7651,139.703,30.2088,-540,1,-1,,,Orion,,,Japan
272327,Globe at Night,2022-02-02 09:00:00+00:00,35.7651,139.703,30.2088,-540,1,-1,,,Orion,,,Japan
272326,Globe at Night,2022-02-02 09:00:00+00:00,35.7651,139.703,30.2088,-540,2,-1,,,Orion,,,Japan
272322,Globe at Night,2022-02-02 07:45:00+00:00,35.7811,139.735,5.99415,-540,1,25,,,Orion,,,Japan
272321,Globe at Night,2022-02-03 07:30:00+00:00,35.7458,139.808,0.28024,-540,1,-1,,,Orion,,,Japan
272319,Globe at Night,2022-02-02 10:17:00+00:00,35.7564,139.696,26.3675,-540,1,25,,,Orion,,,Japan
272318,Globe at Night,2022-02-02 10:17:00+00:00,35.7564,139.696,26.3675,-540,1,25,,,Orion,,,Japan
272313,Globe at Night,2022-02-02 09:17:00+00:00,35.7891,139.807,5.20116,-540,3,-1,,,Orion,,,Japan
272307,Globe at Night,2022-02-02 08:22:00+00:00,35.3262,139.443,10.8742,-540,2,-1,,,Orion,,,Japan
272306,Globe at Night,2022-02-02 08:11:00+00:00,35.615,139.507,113.116,-540,2,25,,,Orion,,,Japan
272305,Globe at Night,2022-02-02 08:02:00+00:00,35.7662,139.708,25.3975,-540,2,-1,,,Orion,,,Japan
272304,Globe at Night,2022-02-02 07:00:00+00:00,35.7899,139.662,5.8192,-540,1,-1,,,Orion,,,Japan
272303,Globe at Night,2022-02-02 07:00:00+00:00,35.8254,139.805,7.27446,-540,3,-1,,,Orion,,,Japan
272301,Globe at Night,2022-02-02 07:00:00+00:00,38.5371,140.144,544.791,-540,5,75,,,Orion,,,Japan
272300,Globe at Night,2022-02-02 07:22:00+00:00,35.7352,139.669,38.227,-540,3,-1,,,Orion,,,Japan
272299,Globe at Night,2022-02-02 06:51:00+00:00,36.1394,139.39,30.718,-540,1,25,,,Orion,,,Japan
272298,Globe at Night,2022-02-02 06:45:00+00:00,35.7172,139.473,83.8654,-540,2,-1,,,Orion,,,Japan
272297,Globe at Night,2022-02-02 06:18:00+00:00,35.915,139.801,6.22683,-540,3,-1,,,Orion,,,Japan
272295,Globe at Night,2022-02-02 06:06:00+00:00,35.7435,139.47,78.3885,-540,3,-1,,,Orion,,,Japan
272292,Globe at Night,2022-02-02 05:17:00+00:00,35.664,139.739,29.0784,-540,2,-1,,,Orion,,,Japan
272291,Globe at Night,2022-02-01 07:41:00+00:00,26.13,127.682,30.0635,-540,3,-1,,,Orion,,,Japan
272288,Globe at Night,2022-02-02 04:00:00+00:00,36.0055,139.41,22.5323,-540,3,-1,,,Orion,,,Japan
272283,Globe at Night,2022-02-01 10:00:00+00:00,35.6728,139.817,1.46587,-540,3,25,,,Orion,,,Japan
272282,Globe at Night,2022-02-02 03:11:00+00:00,35.9914,140.155,24.5275,-540,4,-1,,,Orion,,,Japan
272281,Globe at Night,2022-01-31 05:22:00+00:00,35.6716,139.697,39.7516,-540,3,25,,,Orion,,,Japan
272280,Globe at Night,2022-02-01 05:18:00+00:00,35.7348,139.708,35.4437,-540,4,-1,,,Orion,,,Japan
272278,Globe at Night,2022-02-01 05:30:00+00:00,34.7885,135.904,134.522,-540,4,-1,,,Orion,,,Japan
272277,Globe at Night,2022-01-25 04:22:00+00:00,36.4037,138.225,428.86,-540,4,-1,,,Orion,,,Japan
272273,Globe at Night,2022-01-30 07:00:00+00:00,35.7846,139.811,4.66547,-540,2,-1,,,Orion,,,Japan
272178,Globe at Night,2022-02-01 11:05:00+00:00,35.7422,139.724,25.4062,-540,1,50,,,Orion,,,Japan
272176,Globe at Night,2022-02-02 08:30:00+00:00,35.8615,139.52,21.7512,-540,2,-1,,,Orion,,,Japan
272175,Globe at Night,2022-02-01 10:32:00+00:00,35.8615,139.52,21.7319,-540,2,-1,,,Orion,,,Japan
272173,Globe at Night,2022-02-01 08:44:00+00:00,36.0607,139.254,97.876,-540,3,-1,,,Orion,,,Japan
272169,Globe at Night,2022-02-01 08:36:00+00:00,35.7581,139.677,27.9506,-540,2,-1,,,Orion,,,Japan
272168,Globe at Night,2022-02-01 08:16:00+00:00,35.6988,139.847,1.74321,-540,1,-1,,,Orion,,,Japan
272167,Globe at Night,2022-02-01 08:13:00+00:00,35.8472,140.097,3.47333,-540,4,-1,,,Orion,,,Japan
272164,Globe at Night,2022-02-01 07:41:00+00:00,26.13,127.682,30.0635,-540,3,-1,,,Orion,,,Japan
272163,Globe at Night,2022-02-01 06:34:00+00:00,35.8993,139.535,11.0739,-540,3,-1,,,Orion,,,Japan
272161,Globe at Night,2022-02-01 07:14:00+00:00,36.3713,139.851,49.1411,-540,2,-1,,,Orion,,,Japan
272160,Globe at Night,2022-02-01 07:10:00+00:00,35.7209,139.312,126.936,-540,3,-1,,,Orion,,,Japan
272159,Globe at Night,2022-02-01 07:11:00+00:00,35.7801,139.737,3.90993,-540,1,-1,,,Orion,,,Japan
272158,Globe at Night,2022-02-01 06:57:00+00:00,35.8239,139.655,7.21065,-540,2,75,,,Orion,,,Japan
272157,Globe at Night,2022-02-01 06:41:00+00:00,35.6773,139.83,-0.127363,-540,-9999,-1,,,Orion,,,Japan
272156,Globe at Night,2022-02-01 06:34:00+00:00,35.8993,139.535,11.0739,-540,3,-1,,,Orion,,,Japan
272154,Globe at Night,2022-02-01 05:53:00+00:00,35.4241,133.36,7.55167,-540,4,25,,,Orion,,,Japan
272153,Globe at Night,2022-02-01 05:30:00+00:00,35.5878,139.579,67.158,-540,2,-1,,,Orion,,,Japan
272151,Globe at Night,2022-02-01 05:19:00+00:00,36.3169,139.169,61.9972,-540,1,25,,,Orion,,,Japan
272150,Globe at Night,2022-02-01 04:58:00+00:00,35.7422,139.546,58.7465,-540,3,-1,,,Orion,,,Japan
272149,Globe at Night,2022-02-01 04:37:00+00:00,32.786,131.224,624.458,-540,6,-1,,,Orion,,,Japan
272148,Globe at Night,2022-02-01 04:30:00+00:00,33.582,130.377,3.98862,-540,3,-1,,,Orion,,,Japan
272147,Globe at Night,2022-02-01 04:36:00+00:00,35.7458,140.769,36.5366,-540,4,-1,,,Orion,,,Japan
272146,Globe at Night,2022-02-01 04:07:00+00:00,35.9283,139.419,35.488,-540,3,-1,,,Orion,,,Japan
272145,Globe at Night,2022-02-01 04:01:00+00:00,35.7233,139.759,25.8153,-540,-9999,-1,,,Orion,,,Japan
272131,Globe at Night,2022-01-31 07:30:00+00:00,35.7556,139.698,25.0463,-540,3,25,,,Orion,,,Japan
272130,Globe at Night,2022-01-31 22:35:00+00:00,35.7556,139.698,25.0463,-540,3,25,,,Orion,,,Japan
272068,Globe at Night,2022-01-25 04:49:00+00:00,35.8051,139.578,32.6113,-540,3,-1,,,Orion,,,Japan
272067,Globe at Night,2022-01-31 05:30:00+00:00,35.7801,139.737,3.77741,-540,1,25,,,Orion,,,Japan
272063,Globe at Night,2022-01-31 09:11:00+00:00,35.7778,139.72,8.5679,-540,2,25,,,Orion,,,Japan
272059,Globe at Night,2022-01-31 08:54:00+00:00,35.7526,139.452,86.573,-540,3,50,,,Orion,,,Japan
272056,Globe at Night,2022-01-31 08:12:00+00:00,35.7211,139.708,32.6246,-540,-9999,50,,,Orion,,,Japan
272055,Globe at Night,2022-01-31 07:30:00+00:00,43.1389,141.2,7.21648,-540,-9999,-1,,,Orion,,,Japan
272054,Globe at Night,2022-01-31 06:19:00+00:00,35.7846,139.686,4.16534,-540,-9999,25,,,Orion,,,Japan
272053,Globe at Night,2022-01-31 05:43:00+00:00,36.2959,139.804,35.875,-540,1,-1,,,Orion,,,Japan
272052,Globe at Night,2022-01-31 05:33:00+00:00,36.0914,139.553,15.5908,-540,3,25,,,Orion,,,Japan
272050,Globe at Night,2022-01-31 04:12:00+00:00,36.1494,139.367,34.6584,-540,3,-1,,,Orion,,,Japan
272001,Globe at Night,2022-01-30 05:30:00+00:00,35.7399,139.753,27.0775,-540,7,50,,,Orion,,,Japan
271999,Globe at Night,2022-01-30 05:30:00+00:00,35.7399,139.753,27.0775,-540,7,50,,,Orion,,,Japan
271981,Globe at Night,2022-01-30 18:41:00+00:00,33.2707,131.658,4.9201,-540,3,25,,,Orion,,,Japan
271942,Globe at Night,2022-01-30 08:24:00+00:00,35.7828,139.683,5.36012,-540,2,-1,,,Orion,,,Japan
271941,Globe at Night,2022-01-30 07:14:00+00:00,35.8743,140.008,14.0282,-540,2,25,,,Orion,,,Japan
271940,Globe at Night,2022-01-30 08:25:00+00:00,35.535,140.439,1.4383,-540,4,-1,,,Orion,,,Japan
271939,Globe at Night,2022-01-30 06:40:00+00:00,35.9332,139.824,7.24033,-540,3,25,,,Orion,,,Japan
271938,Globe at Night,2022-01-30 07:41:00+00:00,35.8077,139.724,4.84057,-540,1,75,,,Orion,,,Japan
271937,Globe at Night,2022-01-30 08:07:00+00:00,35.575,140.384,8.11478,-540,2,-1,,,Orion,,,Japan
271935,Globe at Night,2022-01-30 07:28:00+00:00,35.704,139.671,40.7481,-540,-9999,50,,,Orion,,,Japan
271934,Globe at Night,2022-01-30 07:02:00+00:00,36.1842,139.56,16.1558,-540,3,25,,,Orion,,,Japan
271933,Globe at Night,2022-01-30 06:54:00+00:00,35.7582,139.579,50.7069,-540,1,25,,,Orion,,,Japan
271932,Globe at Night,2022-01-30 06:52:00+00:00,35.6762,139.65,40.208,-540,-9999,25,,,Orion,,,Japan
271930,Globe at Night,2022-01-30 06:46:00+00:00,35.6427,140.069,4.24476,-540,-9999,25,,,Orion,,,Japan
271929,Globe at Night,2022-01-30 06:23:00+00:00,36.1337,139.622,11.9008,-540,2,25,,,Orion,,,Japan
271928,Globe at Night,2022-01-30 06:22:00+00:00,35.7105,140.228,6.5565,-540,2,25,,,Orion,,,Japan
271927,Globe at Night,2022-01-30 06:20:00+00:00,36.144,139.665,11.5676,-540,2,-1,,,Orion,,,Japan
271926,Globe at Night,2022-01-30 05:57:00+00:00,35.6145,139.541,37.5314,-540,2,-1,,,Orion,,,Japan
271925,Globe at Night,2022-01-30 05:57:00+00:00,35.6145,139.541,37.5314,-540,2,-1,,,Orion,,,Japan
271924,Globe at Night,2022-01-30 05:16:00+00:00,36.2384,137.966,587.329,-540,4,-1,,,Orion,,,Japan
271922,Globe at Night,2022-01-30 05:10:00+00:00,35.8865,139.496,19.7069,-540,3,25,,,Orion,,,Japan
271921,Globe at Night,2022-01-30 04:27:00+00:00,35.8969,139.732,3.9239,-540,2,-1,,,Orion,,,Japan
271919,Globe at Night,2022-01-30 04:16:00+00:00,35.6658,140.037,2.87362,-540,1,25,,,Orion,,,Japan
271918,Globe at Night,2022-01-30 03:13:00+00:00,35.7257,139.553,53.8541,-540,2,25,,,Orion,,,Japan
271877,Globe at Night,2022-01-26 06:40:00+00:00,35.4753,133.049,6.04653,-540,4,-1,,,Orion,,,Japan
271871,Globe at Night,2022-01-30 06:30:00+00:00,35.9794,140.15,23.7706,-540,3,-1,,,Orion,,,Japan
271857,Globe at Night,2022-01-29 08:23:00+00:00,35.8363,139.697,7.45864,-540,3,-1,,,Orion,,,Japan
271856,Globe at Night,2022-01-29 07:45:00+00:00,36.0789,139.718,12.1141,-540,3,25,,,Orion,,,Japan
271855,Globe at Night,2022-01-29 07:24:00+00:00,35.9403,139.657,16.2338,-540,1,25,,,Orion,,,Japan
271854,Globe at Night,2022-01-29 06:38:00+00:00,35.6804,139.769,5.0,-540,2,50,,,Orion,,,Japan
271853,Globe at Night,2022-01-29 06:43:00+00:00,35.8126,138.299,825.442,-540,4,-1,,,Orion,,,Japan
271852,Globe at Night,2022-01-29 06:34:00+00:00,35.7875,139.795,5.7528,-540,3,-1,,,Orion,,,Japan
271851,Globe at Night,2022-01-29 04:22:00+00:00,35.6804,139.769,5.0,-480,3,25,,,Orion,,,Japan
271850,Globe at Night,2022-01-29 06:20:00+00:00,35.4505,139.47,56.765,-540,2,25,,,Orion,,,Japan
271849,Globe at Night,2022-01-29 06:02:00+00:00,35.7243,139.748,23.8511,-540,1,25,,,Orion,,,Japan
271847,Globe at Night,2022-01-29 05:56:00+00:00,35.9611,140.15,26.4734,-540,1,50,,,Orion,,,Japan
271846,Globe at Night,2022-01-29 05:53:00+00:00,35.9601,140.151,28.8597,-540,2,50,,,Orion,,,Japan
271845,Globe at Night,2022-01-29 05:06:00+00:00,35.7243,139.748,27.6242,-540,-9999,50,,,Orion,,,Japan
271771,Globe at Night,2022-01-28 06:00:00+00:00,33.398,133.021,409.56,-540,5,-1,,,Orion,,,Japan
271769,Globe at Night,2022-01-27 07:30:00+00:00,33.4774,133.006,1355.74,-540,4,-1,,,Orion,,,Japan
271768,Globe at Night,2022-01-25 04:30:00+00:00,33.4774,133.006,1356.03,-540,5,25,,,Orion,,,Japan
271766,Globe at Night,2022-01-28 05:51:00+00:00,35.7654,139.69,32.4432,-540,-9999,75,,,Orion,,,Japan
271762,Globe at Night,2022-01-28 02:54:00+00:00,35.8447,140.562,8.9446,-540,2,25,,,Orion,,,Japan
271696,Globe at Night,2022-01-29 08:56:00+00:00,35.8011,139.779,6.0,-540,2,-1,,,Orion,,,Japan
271690,Globe at Night,2022-01-27 06:15:00+00:00,35.7115,139.866,1.60425,-540,2,25,,,Orion,,,Japan
